2026-09-26	eca085743	quiet	source-merge-via-ready: okaySourceMerge, ring join (one per turn) vs old shared channel	98.406	107.275	0.92	us/op, lower better; MergeBenchmark 2x500, cap 64; A/B round 1, each arm its own JVM (-Dokay.source.merge=channel), jmh-lane through bench-window; errors 8.406 vs 5.828 (the new arm's first try was CONTAMINATED and retried)
2026-09-26	eca085743	quiet	source-merge-via-ready: okaySourceMerge, ring join (one per turn) vs old	104.738	108.915	0.96	us/op; A/B round 2; errors 1.449 vs 0.856, bars separate
2026-09-26	eca085743	quiet	source-merge-via-ready: MergeCapBenchmark cap 64, ring (one per turn) vs old	103.446	111.680	0.93	us/op; round 1; errors 1.378 vs 4.121
2026-09-26	eca085743	quiet	source-merge-via-ready: MergeCapBenchmark cap 256, ring (one per turn) vs old	89.588	80.412	1.11	us/op; round 1; errors 5.723 vs 4.532 — THE NAMED LOSS
2026-09-26	eca085743	quiet	source-merge-via-ready: MergeCapBenchmark cap 1024, ring (one per turn) vs old	77.954	76.948	1.01	us/op; round 1; parity
2026-09-26	eca085743	quiet	source-merge-via-ready: MergeCapBenchmark cap 64/256/1024, ring vs old, round 2	103.688	109.406	0.95	us/op at 64; 256: 88.198 vs 81.641 (1.08); 1024: 77.986 vs 78.267 (1.00); old arm's first try CONTAMINATED and retried
2026-09-26	eca085743	quiet	source-merge-via-ready: quantum 64 vs 1, MergeCapBenchmark cap 256	87.679	90.105	0.97	us/op; round 1 (round 2: 85.056 vs 88.667); cap 64: 102.478/100.725 vs 106.770/103.518; okaySourceMerge 103.562/105.243 vs 105.608/105.339 — quantum 64 better in 5 of 6, 2-3%, KEPT
2026-09-26	eca085743	quiet	source-merge-via-ready: quantum 64 vs old channel, MergeCapBenchmark cap 256	85.056	73.605	1.16	us/op; quantum round 2 (round 1: 87.679 vs 79.219); the loss at 256 survives the quantum
2026-09-26	eca085743	quiet	source-merge-via-ready: REFUTED — per-side channel as relaxed.parts(1) (the old merge's part type) vs SentinelChannel, cap 256	87.082	87.261	1.00	us/op; round 1 (round 2: 95.815 vs 89.781); the buffer type is not the 256 gap; the old arm at 256 came back NOISY (±9) in 5 of 6 attempts and jmh-lane gave up on round 2
2026-09-26	eca085743	quiet	source-merge-via-ready: controls okaySourceSingleDrain	45.416	47.118	0.96	us/op; round 1 vs round 2 of the first A/B (later rounds 48.734, 45.936); before this lane's Writer.uncons change the same lane read 44.31/44.51 — the lazy Bind per uncons may cost ~2-6%, inside these controls' own spread
